timestamp,epoch,chunk,train_loss,val_loss
240.39,1,1,0.810003,
474.89,1,2,0.791401,
713.18,1,3,0.782715,
944.83,1,4,0.781482,
1184.05,1,5,0.779520,
1424.25,1,6,0.778860,
1662.59,1,7,0.777222,
1904.29,1,8,0.778208,
2143.50,1,9,0.778408,
2384.68,1,10,0.773787,
2613.73,1,11,0.776992,
2857.03,1,12,0.773791,
3097.50,1,13,0.759796,
3338.95,1,14,0.770861,
3577.23,1,15,0.773986,
3816.72,1,16,0.774937,
4058.49,1,17,0.770385,
4295.99,1,18,0.767691,
4539.80,1,19,0.765905,
4780.56,1,20,0.769160,
5020.82,1,21,0.767201,
5258.67,1,22,0.766861,
5491.03,1,23,0.762710,
5729.13,1,24,0.761579,
5971.07,1,25,0.761722,
6064.78,1,26,0.756021,
6302.61,1,27,0.762299,
6542.08,1,28,0.758958,
7489.47,1,end,,0.798024
7711.86,2,1,0.766718,
7936.64,2,2,0.766070,
8162.29,2,3,0.764007,
8383.72,2,4,0.766613,
8608.39,2,5,0.767947,
8832.65,2,6,0.769084,
9056.94,2,7,0.768511,
9282.81,2,8,0.770911,
9508.84,2,9,0.772208,
9732.92,2,10,0.768042,
9959.40,2,11,0.772702,
10181.57,2,12,0.769307,
10407.56,2,13,0.755795,
10632.23,2,14,0.766685,
10855.48,2,15,0.770505,
11080.61,2,16,0.771596,
11302.57,2,17,0.767139,
11529.35,2,18,0.764566,
11749.62,2,19,0.763216,
11973.98,2,20,0.766163,
12197.93,2,21,0.765342,
12425.82,2,22,0.764344,
12649.63,2,23,0.759407,
12875.77,2,24,0.758959,
13100.06,2,25,0.758758,
13186.13,2,26,0.755223,
13409.45,2,27,0.758890,
13635.06,2,28,0.756607,
14526.52,2,end,,0.786437
14751.56,3,1,0.774876,
14976.75,3,2,0.771969,
15199.97,3,3,0.769266,
15422.02,3,4,0.771894,
15645.99,3,5,0.772249,
15869.99,3,6,0.773708,
16094.45,3,7,0.773188,
16321.04,3,8,0.774924,
16546.30,3,9,0.775982,
16773.85,3,10,0.772095,
16999.55,3,11,0.776060,
17225.37,3,12,0.772866,
17446.53,3,13,0.759267,
17670.73,3,14,0.770265,
17893.93,3,15,0.774356,
18118.35,3,16,0.774260,
18340.40,3,17,0.770076,
18564.64,3,18,0.766773,
18786.58,3,19,0.765594,
19009.65,3,20,0.768041,
